name,Count,Cumulative Sum,Percentage (%)
say.v,213,213,2.56
have.v,185,398,4.78
can.v,157,555,6.66
there be.v,146,701,8.41
use.v,145,846,10.15
produce.v,126,972,11.67
know.v,111,1083,13.0
develop.v,108,1191,14.3
include.v,92,1283,15.4
begin.v,89,1372,16.47
provide.v,87,1459,17.51
build.v,84,1543,18.52
see.v,79,1622,19.47
find.v,76,1698,20.38
believe.v,75,1773,21.28
continue.v,74,1847,22.17
do.v,74,1921,23.06
make.v,73,1994,23.93
help.v,69,2063,24.76
become.v,66,2129,25.56
should.v,66,2195,26.35
get.v,59,2254,27.06
take.v,58,2312,27.75
come.v,58,2370,28.45
want.v,57,2427,29.13
work.v,56,2483,29.8
acquire.v,52,2535,30.43
go.v,51,2586,31.04
sign.v,51,2637,31.65
think.v,49,2686,32.24
start.v,48,2734,32.82
sell.v,46,2780,33.37
report.v,46,2826,33.92
remain.v,46,2872,34.47
try.v,46,2918,35.03
call.v,45,2963,35.57
claim.v,44,3007,36.09
leave.v,43,3050,36.61
possess.v,43,3093,37.13
tell.v,42,3135,37.63
need.v,40,3175,38.11
seem.v,40,3215,38.59
may.v,39,3254,39.06
supply.v,38,3292,39.52
announce.v,35,3327,39.94
establish.v,33,3360,40.33
declare.v,33,3393,40.73
live.v,33,3426,41.12
might.v,33,3459,41.52
increase.v,32,3491,41.9
arrive.v,32,3523,42.29
manufacture.v,32,3555,42.67
seek.v,31,3586,43.04
support.v,29,3615,43.39
kill.v,29,3644,43.74
appear.v,29,3673,44.09
purchase.v,29,3702,44.44
cause.v,29,3731,44.78
give.v,28,3759,45.12
complete.v,28,3787,45.46
change.v,28,3815,45.79
deny.v,28,3843,46.13
agree.v,28,3871,46.47
create.v,27,3898,46.79
end.v,27,3925,47.11
destroy.v,27,3952,47.44
allow.v,27,3979,47.76
indicate.v,26,4005,48.07
grow.v,26,4031,48.39
visit.v,26,4057,48.7
bring.v,25,4082,49.0
hear.v,25,4107,49.3
keep.v,25,4132,49.6
follow.v,25,4157,49.9
join.v,24,4181,50.19
conduct.v,24,4205,50.47
receive.v,24,4229,50.76
estimate.v,24,4253,51.05
burn.v,23,4276,51.33
send.v,23,4299,51.6
test.v,23,4322,51.88
look.v,23,4345,52.15
stop.v,23,4368,52.43
have to.v,23,4391,52.71
walk.v,23,4414,52.98
ask.v,22,4436,53.25
carry out.v,22,4458,53.51
contain.v,22,4480,53.78
state.v,22,4502,54.04
wait.v,22,4524,54.3
prevent.v,21,4545,54.56
take place.v,21,4566,54.81
construct.v,21,4587,55.06
feel.v,21,4608,55.31
verify.v,21,4629,55.56
suggest.v,20,4649,55.8
ratify.v,20,4669,56.04
describe.v,20,4689,56.28
exist.v,20,4709,56.52
launch.v,19,4728,56.75
reach.v,19,4747,56.98
fight.v,19,4766,57.21
lead.v,19,4785,57.44
arrest.v,19,4804,57.66
reveal.v,19,4823,57.89
employ.v,19,4842,58.12
conclude.v,18,4860,58.34
consider.v,18,4878,58.55
attempt.v,18,4896,58.77
deploy.v,18,4914,58.98
show.v,18,4932,59.2
deliver.v,17,4949,59.4
withdraw.v,17,4966,59.61
must.v,17,4983,59.81
buy.v,17,5000,60.02
assist.v,17,5017,60.22
carry.v,17,5034,60.42
return.v,17,5051,60.63
import.v,17,5068,60.83
obtain.v,17,5085,61.04
enter.v,17,5102,61.24
suspend.v,16,5118,61.43
monitor.v,16,5134,61.63
require.v,16,5150,61.82
admit.v,16,5166,62.01
place.v,16,5182,62.2
sit.v,15,5197,62.38
discuss.v,15,5212,62.56
add.v,15,5227,62.74
respond.v,15,5242,62.92
run.v,15,5257,63.1
expand.v,15,5272,63.28
expect.v,15,5287,63.46
hold.v,15,5302,63.64
design.v,15,5317,63.82
discover.v,15,5332,64.0
travel.v,14,5346,64.17
watch.v,14,5360,64.34
fail.v,14,5374,64.51
enrich.v,14,5388,64.67
learn.v,14,5402,64.84
serve.v,14,5416,65.01
engage.v,14,5430,65.18
export.v,14,5444,65.35
understand.v,14,5458,65.51
escape.v,14,5472,65.68
secure.v,14,5486,65.85
write.v,14,5500,66.02
maintain.v,14,5514,66.19
stockpile.v,14,5528,66.35
gain.v,14,5542,66.52
move.v,13,5555,66.68
turn.v,13,5568,66.83
confirm.v,13,5581,66.99
pay.v,13,5594,67.15
ring.v,13,5607,67.3
spread.v,13,5620,67.46
hope.v,13,5633,67.61
have got.v,13,5646,67.77
die.v,13,5659,67.93
train.v,13,5672,68.08
cooperate.v,13,5685,68.24
cite.v,13,5698,68.4
found.v,13,5711,68.55
order.v,13,5724,68.71
reduce.v,13,5737,68.86
operate.v,12,5749,69.01
note.v,12,5761,69.15
rule.v,12,5773,69.3
stand.v,12,5785,69.44
transfer.v,12,5797,69.58
mean.v,12,5809,69.73
force.v,12,5821,69.87
control.v,12,5833,70.02
fall.v,12,5845,70.16
equip.v,12,5857,70.3
read.v,12,5869,70.45
pledge.v,12,5881,70.59
detect.v,11,5892,70.72
belong.v,11,5903,70.86
own.v,11,5914,70.99
occur.v,11,5925,71.12
happen.v,11,5936,71.25
store.v,11,5947,71.38
permit.v,11,5958,71.52
accuse.v,11,5969,71.65
evacuate.v,11,5980,71.78
pass.v,11,5991,71.91
suspect.v,11,6002,72.04
talk.v,10,6012,72.16
put.v,10,6022,72.28
offer.v,10,6032,72.4
steal.v,10,6042,72.52
deal.v,10,6052,72.64
drive.v,10,6062,72.76
protect.v,10,6072,72.88
accept.v,10,6082,73.0
participate.v,10,6092,73.12
achieve.v,10,6102,73.24
fire.v,10,6112,73.36
set up.v,10,6122,73.48
eliminate.v,10,6132,73.6
lift.v,10,6142,73.72
fear.v,9,6151,73.83
damage.v,9,6160,73.94
replace.v,9,6169,74.05
define.v,9,6178,74.16
rely.v,9,6187,74.26
enjoy.v,9,6196,74.37
express.v,9,6205,74.48
plan.v,9,6214,74.59
mention.v,9,6223,74.7
submit.v,9,6232,74.8
stay.v,9,6241,74.91
inform.v,9,6250,75.02
speak.v,9,6259,75.13
insist.v,9,6268,75.24
choose.v,9,6277,75.35
approach.v,9,6286,75.45
assess.v,9,6295,75.56
assassinate.v,9,6304,75.67
dismantle.v,9,6313,75.78
view.v,9,6322,75.89
rise.v,9,6331,75.99
address.v,9,6340,76.1
lie.v,9,6349,76.21
head.v,8,6357,76.31
prepare.v,8,6365,76.4
meet.v,8,6373,76.5
explain.v,8,6381,76.59
defend.v,8,6389,76.69
murder.v,8,6397,76.79
threaten.v,8,6405,76.88
succeed.v,8,6413,76.98
teach.v,8,6421,77.07
urge.v,8,6429,77.17
finish.v,8,6437,77.27
research.v,8,6445,77.36
request.v,8,6453,77.46
attend.v,8,6461,77.55
resume.v,8,6469,77.65
influence.v,8,6477,77.75
attack.v,8,6485,77.84
ban.v,8,6493,77.94
avoid.v,8,6501,78.03
intend.v,8,6509,78.13
shake.v,8,6517,78.23
install.v,8,6525,78.32
check.v,8,6533,78.42
affect.v,8,6541,78.51
decide.v,8,6549,78.61
form.v,8,6557,78.71
promise.v,7,6564,78.79
flee.v,7,6571,78.87
proceed.v,7,6578,78.96
argue.v,7,6585,79.04
characterize.v,7,6592,79.13
violate.v,7,6599,79.21
wonder.v,7,6606,79.29
strike.v,7,6613,79.38
focus.v,7,6620,79.46
go on.v,7,6627,79.55
divide.v,7,6634,79.63
assemble.v,7,6641,79.71
disclose.v,7,6648,79.8
play.v,7,6655,79.88
utilise.v,7,6662,79.97
refuse.v,7,6669,80.05
criticize.v,7,6676,80.13
born.v,7,6683,80.22
halt.v,7,6690,80.3
fill.v,7,6697,80.39
could.v,7,6704,80.47
reprocess.v,7,6711,80.55
pursue.v,7,6718,80.64
accede.v,7,6725,80.72
appreciate.v,7,6732,80.81
prove.v,7,6739,80.89
resolve.v,7,6746,80.97
allege.v,7,6753,81.06
generate.v,6,6759,81.13
slide.v,6,6765,81.2
transport.v,6,6771,81.27
thank.v,6,6777,81.35
smile.v,6,6783,81.42
encourage.v,6,6789,81.49
split.v,6,6795,81.56
draw.v,6,6801,81.63
gather.v,6,6807,81.71
suffer.v,6,6813,81.78
emerge.v,6,6819,81.85
identify.v,6,6825,81.92
earn.v,6,6831,81.99
attract.v,6,6837,82.07
negotiate.v,6,6843,82.14
oppose.v,6,6849,82.21
realize.v,6,6855,82.28
account.v,6,6861,82.36
kidnap.v,6,6867,82.43
decline.v,6,6873,82.5
demand.v,6,6879,82.57
hit.v,6,6885,82.64
wear.v,6,6891,82.72
renew.v,6,6897,82.79
lose.v,6,6903,82.86
cost.v,6,6909,82.93
adopt.v,6,6915,83.0
wish.v,6,6921,83.08
approve.v,6,6927,83.15
restore.v,6,6933,83.22
issue.v,6,6939,83.29
fly.v,6,6945,83.36
invite.v,6,6951,83.44
manage.v,6,6957,83.51
seize.v,6,6963,83.58
assert.v,6,6969,83.65
flourish.v,6,6975,83.72
cover.v,6,6981,83.8
house.v,5,6986,83.86
erect.v,5,6991,83.92
let.v,5,6996,83.98
fish.v,5,7001,84.04
laugh.v,5,7006,84.1
face.v,5,7011,84.16
investigate.v,5,7016,84.22
honor.v,5,7021,84.28
hire.v,5,7026,84.34
match.v,5,7031,84.4
miss.v,5,7036,84.46
improve.v,5,7041,84.52
abandon.v,5,7046,84.58
bring about.v,5,7051,84.64
shoot.v,5,7056,84.7
process.v,5,7061,84.76
aid.v,5,7066,84.82
determine.v,5,7071,84.88
push.v,5,7076,84.94
treat.v,5,7081,85.0
confront.v,5,7086,85.06
vanish.v,5,7091,85.12
revive.v,5,7096,85.18
conquer.v,5,7101,85.24
delay.v,5,7106,85.3
undergo.v,5,7111,85.36
rescue.v,5,7116,85.42
undertake.v,5,7121,85.48
cry.v,5,7126,85.54
remark.v,5,7131,85.6
thrive.v,5,7136,85.66
combine.v,5,7141,85.72
weaponize.v,5,7146,85.78
perform.v,5,7151,85.84
spring.v,5,7156,85.9
end up.v,5,7161,85.96
break out.v,5,7166,86.02
acknowledge.v,5,7171,86.08
notice.v,5,7176,86.14
observe.v,5,7181,86.2
sound.v,5,7186,86.26
drop.v,5,7191,86.32
adhere.v,5,7196,86.38
remove.v,5,7201,86.44
dominate.v,5,7206,86.5
blame.v,5,7211,86.56
flow.v,4,7215,86.6
contribute.v,4,7219,86.65
collaborate.v,4,7223,86.7
forecast.v,4,7227,86.75
throw.v,4,7231,86.8
count.v,4,7235,86.84
lack.v,4,7239,86.89
remember.v,4,7243,86.94
back.v,4,7247,86.99
communicate.v,4,7251,87.04
freeze.v,4,7255,87.08
tear.v,4,7259,87.13
ride.v,4,7263,87.18
sentence.v,4,7267,87.23
commit.v,4,7271,87.28
invade.v,4,7275,87.32
slaughter.v,4,7279,87.37
compare.v,4,7283,87.42
judge.v,4,7287,87.47
retaliate.v,4,7291,87.52
lay.v,4,7295,87.56
mark.v,4,7299,87.61
waste.v,4,7303,87.66
expel.v,4,7307,87.71
aim.v,4,7311,87.76
herald.v,4,7315,87.8
predict.v,4,7319,87.85
distribute.v,4,7323,87.9
perish.v,4,7327,87.95
apply.v,4,7331,88.0
park.v,4,7335,88.04
act.v,4,7339,88.09
open.v,4,7343,88.14
eat.v,4,7347,88.19
enclose.v,4,7351,88.24
worry.v,4,7355,88.28
relinquish.v,4,7359,88.33
explore.v,4,7363,88.38
vow.v,4,7367,88.43
link.v,4,7371,88.48
release.v,4,7375,88.52
regard.v,4,7379,88.57
study.v,4,7383,88.62
defeat.v,4,7387,88.67
assure.v,4,7391,88.72
vary.v,4,7395,88.76
demolish.v,4,7399,88.81
demonstrate.v,4,7403,88.86
rank.v,4,7407,88.91
load.v,4,7411,88.96
decrease.v,4,7415,89.0
wave.v,3,7418,89.04
tend.v,3,7421,89.08
hospitalize.v,3,7424,89.11
hijack.v,3,7427,89.15
hunt.v,3,7430,89.18
imagine.v,3,7433,89.22
modify.v,3,7436,89.26
step.v,3,7439,89.29
raise.v,3,7442,89.33
motivate.v,3,7445,89.37
name.v,3,7448,89.4
overthrow.v,3,7451,89.44
perceive.v,3,7454,89.47
marry.v,3,7457,89.51
persist.v,3,7460,89.55
make sure.v,3,7463,89.58
present.v,3,7466,89.62
promote.v,3,7469,89.65
prompt.v,3,7472,89.69
propose.v,3,7475,89.73
love.v,3,7478,89.76
raid.v,3,7481,89.8
rape.v,3,7484,89.83
inhabit.v,3,7487,89.87
like.v,3,7490,89.91
light.v,3,7493,89.94
rename.v,3,7496,89.98
represent.v,3,7499,90.01
resemble.v,3,7502,90.05
mix.v,3,7505,90.09
rob.v,3,7508,90.12
safeguard.v,3,7511,90.16
ship.v,3,7514,90.19
intercept.v,3,7517,90.23
shrink.v,3,7520,90.27
signal.v,3,7523,90.3
initiate.v,3,7526,90.34
recognize.v,3,7529,90.37
knock down.v,3,7532,90.41
buzz.v,3,7535,90.45
bully.v,3,7538,90.48
crash.v,3,7541,90.52
burgeon.v,3,7544,90.55
drag on.v,3,7547,90.59
adorn.v,3,7550,90.63
cut.v,3,7553,90.66
advise.v,3,7556,90.7
depart.v,3,7559,90.73
depend.v,3,7562,90.77
deserve.v,3,7565,90.81
cease.v,3,7568,90.84
designate.v,3,7571,90.88
desire.v,3,7574,90.91
devastate.v,3,7577,90.95
dine.v,3,7580,90.99
charge.v,3,7583,91.02
ascertain.v,3,7586,91.06
find out.v,3,7589,91.09
counter.v,3,7592,91.13
advance.v,3,7595,91.17
complement.v,3,7598,91.2
convert.v,3,7601,91.24
break.v,3,7604,91.27
emphasize.v,3,7607,91.31
examine.v,3,7610,91.35
dwindle.v,3,7613,91.38
bring together.v,3,7616,91.42
chat.v,3,7619,91.45
roll.v,2,7621,91.48
drag.v,2,7623,91.5
swim.v,2,7625,91.53
position.v,2,7627,91.55
obey.v,2,7629,91.57
originate.v,2,7631,91.6
stare.v,2,7633,91.62
notify.v,2,7635,91.65
elect.v,2,7637,91.67
postpone.v,2,7639,91.69
pray.v,2,7641,91.72
summon.v,2,7643,91.74
precipitate.v,2,7645,91.77
outline.v,2,7647,91.79
discourage.v,2,7649,91.81
endanger.v,2,7651,91.84
term.v,2,7653,91.86
mill.v,2,7655,91.89
press.v,2,7657,91.91
starve.v,2,7659,91.93
point.v,2,7661,91.96
pack.v,2,7663,91.98
stretch.v,2,7665,92.01
dry.v,2,7667,92.03
capture.v,2,7669,92.05
paint.v,2,7671,92.08
pressure.v,2,7673,92.1
dub.v,2,7675,92.13
drug.v,2,7677,92.15
struggle.v,2,7679,92.17
perpetrate.v,2,7681,92.2
cater.v,2,7683,92.22
strengthen.v,2,7685,92.25
persuade.v,2,7687,92.27
storm.v,2,7689,92.29
carve.v,2,7691,92.32
pitch.v,2,7693,92.34
outlaw.v,2,7695,92.37
disperse.v,2,7697,92.39
step up.v,2,7699,92.41
diminish.v,2,7701,92.44
