name,Count,Cumulative Sum,Percentage (%)
spring up.v,2,7703,92.46
probe.v,2,7705,92.49
come to a end.v,2,7707,92.51
select.v,2,7709,92.53
render.v,2,7711,92.56
renounce.v,2,7713,92.58
rent.v,2,7715,92.61
command.v,2,7717,92.63
corroborate.v,2,7719,92.65
cook.v,2,7721,92.68
comply.v,2,7723,92.7
convey.v,2,7725,92.73
contravene.v,2,7727,92.75
restart.v,2,7729,92.77
contract.v,2,7731,92.8
contend.v,2,7733,92.82
consolidate.v,2,7735,92.85
concern.v,2,7737,92.87
revisit.v,2,7739,92.89
connect.v,2,7741,92.92
condemn.v,2,7743,92.94
sack.v,2,7745,92.97
rush.v,2,7747,92.99
confine.v,2,7749,93.01
ruin.v,2,7751,93.04
separate.v,2,7753,93.06
cure.v,2,7755,93.09
come from.v,2,7757,93.11
sit down.v,2,7759,93.13
disable.v,2,7761,93.16
direct.v,2,7763,93.18
procure.v,2,7765,93.21
bless.v,2,7767,93.23
pull.v,2,7769,93.25
punish.v,2,7771,93.28
slip.v,2,7773,93.3
sleep.v,2,7775,93.33
quit.v,2,7777,93.35
sit up.v,2,7779,93.37
defect.v,2,7781,93.4
shield.v,2,7783,93.42
reaffirm.v,2,7785,93.45
decry.v,2,7787,93.47
clear.v,2,7789,93.49
shower.v,2,7791,93.52
debate.v,2,7793,93.54
climb.v,2,7795,93.57
record.v,2,7797,93.59
recover.v,2,7799,93.61
coincide.v,2,7801,93.64
dance.v,2,7803,93.66
terrorize.v,2,7805,93.69
hate.v,2,7807,93.71
arise.v,2,7809,93.73
admire.v,2,7811,93.76
flight-test.v,2,7813,93.78
jump.v,2,7815,93.81
bear.v,2,7817,93.83
twist.v,2,7819,93.85
transform.v,2,7821,93.88
host.v,2,7823,93.9
extract.v,2,7825,93.93
inspire.v,2,7827,93.95
administer.v,2,7829,93.97
glance.v,2,7831,94.0
battle.v,2,7833,94.02
locate.v,2,7835,94.05
extradite.v,2,7837,94.07
hurt.v,2,7839,94.09
trade.v,2,7841,94.12
illustrate.v,2,7843,94.14
inspect.v,2,7845,94.17
faint.v,2,7847,94.19
injure.v,2,7849,94.21
fashion.v,2,7851,94.24
frighten.v,2,7853,94.26
favor.v,2,7855,94.29
fuel.v,2,7857,94.31
let know.v,2,7859,94.33
turn out.v,2,7861,94.36
feed.v,2,7863,94.38
file.v,2,7865,94.41
ferry.v,2,7867,94.43
execute.v,2,7869,94.45
justify.v,2,7871,94.48
weaken.v,2,7873,94.5
guard.v,2,7875,94.53
wound.v,2,7877,94.55
hand.v,2,7879,94.57
materialize.v,2,7881,94.6
hike.v,2,7883,94.62
tie.v,2,7885,94.65
forget.v,2,7887,94.67
answer.v,2,7889,94.69
acclaim.v,2,7891,94.72
evoke.v,2,7893,94.74
thwart.v,2,7895,94.77
hold off.v,2,7897,94.79
torture.v,2,7899,94.81
toss.v,2,7901,94.84
alter.v,2,7903,94.86
fortify.v,2,7905,94.89
ascend.v,2,7907,94.91
formulate.v,2,7909,94.93
invent.v,2,7911,94.96
govern.v,2,7913,94.98
slay.v,1,7914,94.99
wash.v,1,7915,95.01
chug.v,1,7916,95.02
close.v,1,7917,95.03
apprehend.v,1,7918,95.04
shorten.v,1,7919,95.05
shop.v,1,7920,95.07
alarm.v,1,7921,95.08
shiver.v,1,7922,95.09
chuckle.v,1,7923,95.1
advocate.v,1,7924,95.11
sing.v,1,7925,95.13
war.v,1,7926,95.14
slap.v,1,7927,95.15
shrink from.v,1,7928,95.16
alleviate.v,1,7929,95.17
shrug.v,1,7930,95.19
waltz.v,1,7931,95.2
classify.v,1,7932,95.21
shut off.v,1,7933,95.22
skip.v,1,7934,95.23
side.v,1,7935,95.25
skim.v,1,7936,95.26
clash.v,1,7937,95.27
wake.v,1,7938,95.28
sift.v,1,7939,95.29
cleanse.v,1,7940,95.31
skyrocket.v,1,7941,95.32
besiege.v,1,7942,95.33
collect.v,1,7943,95.34
work together.v,1,7944,95.35
search.v,1,7945,95.37
seal.v,1,7946,95.38
scrutinize.v,1,7947,95.39
screw up.v,1,7948,95.4
scream.v,1,7949,95.41
scratch.v,1,7950,95.43
scowl.v,1,7951,95.44
scoot.v,1,7952,95.45
scan.v,1,7953,95.46
abuse.v,1,7954,95.47
would.v,1,7955,95.49
wrap.v,1,7956,95.5
sacrifice.v,1,7957,95.51
wreak.v,1,7958,95.52
confess.v,1,7959,95.53
absorb.v,1,7960,95.55
yield.v,1,7961,95.56
rue.v,1,7962,95.57
rub.v,1,7963,95.58
seat.v,1,7964,95.59
word.v,1,7965,95.61
shift.v,1,7966,95.62
compound.v,1,7967,95.63
weave.v,1,7968,95.64
comb.v,1,7969,95.65
sever.v,1,7970,95.67
set.v,1,7971,95.68
weigh.v,1,7972,95.69
set out.v,1,7973,95.7
set off.v,1,7974,95.71
weld.v,1,7975,95.73
volunteer.v,1,7976,95.74
whisk.v,1,7977,95.75
widen.v,1,7978,95.76
come together.v,1,7979,95.77
come up.v,1,7980,95.79
will.v,1,7981,95.8
win.v,1,7982,95.81
wind.v,1,7983,95.82
commence.v,1,7984,95.83
witness.v,1,7985,95.85
acquit.v,1,7986,95.86
come off.v,1,7987,95.87
sow.v,1,7988,95.88
slither.v,1,7989,95.89
tour.v,1,7990,95.91
brood.v,1,7991,95.92
survive.v,1,7992,95.93
surprise.v,1,7993,95.94
befall.v,1,7994,95.95
suppose.v,1,7995,95.97
bubble.v,1,7996,95.98
translate.v,1,7997,95.99
transpire.v,1,7998,96.0
summarize.v,1,7999,96.01
sum up.v,1,8000,96.03
bar.v,1,8001,96.04
cajole.v,1,8002,96.05
subvert.v,1,8003,96.06
tread.v,1,8004,96.07
band.v,1,8005,96.09
substantiate.v,1,8006,96.1
captivate.v,1,8007,96.11
stymie.v,1,8008,96.12
triple.v,1,8009,96.13
strip.v,1,8010,96.15
care.v,1,8011,96.16
track.v,1,8012,96.17
swap.v,1,8013,96.18
arouse.v,1,8014,96.19
swear.v,1,8015,96.21
blackmail.v,1,8016,96.22
belittle.v,1,8017,96.23
boil.v,1,8018,96.24
beg.v,1,8019,96.25
thrust.v,1,8020,96.27
terrify.v,1,8021,96.28
terminate.v,1,8022,96.29
bolster.v,1,8023,96.3
bomb.v,1,8024,96.31
teem.v,1,8025,96.33
boom.v,1,8026,96.34
bottle.v,1,8027,96.35
break up.v,1,8028,96.36
take to the air.v,1,8029,96.37
topple.v,1,8030,96.39
breathe.v,1,8031,96.4
take part.v,1,8032,96.41
tack.v,1,8033,96.42
switch.v,1,8034,96.44
swing.v,1,8035,96.45
total.v,1,8036,96.46
balloon.v,1,8037,96.47
tuck.v,1,8038,96.48
tug.v,1,8039,96.5
caress.v,1,8040,96.51
spray.v,1,8041,96.52
assume.v,1,8042,96.53
vacate.v,1,8043,96.54
value.v,1,8044,96.56
spit up.v,1,8045,96.57
spill.v,1,8046,96.58
spew.v,1,8047,96.59
spend.v,1,8048,96.6
speculate.v,1,8049,96.62
chatter.v,1,8050,96.63
bind.v,1,8051,96.64
chew.v,1,8052,96.65
solve.v,1,8053,96.66
solidify.v,1,8054,96.68
articulate.v,1,8055,96.69
smuggle.v,1,8056,96.7
smoke.v,1,8057,96.71
chronicle.v,1,8058,96.72
smell.v,1,8059,96.74
smash.v,1,8060,96.75
arraign.v,1,8061,96.76
charter.v,1,8062,96.77
usher in.v,1,8063,96.78
attach.v,1,8064,96.8
back out.v,1,8065,96.81
carry on.v,1,8066,96.82
sting.v,1,8067,96.83
stick.v,1,8068,96.84
cascade.v,1,8069,96.86
bake.v,1,8070,96.87
catch fire.v,1,8071,96.88
catch on fire.v,1,8072,96.89
twinkle.v,1,8073,96.9
type.v,1,8074,96.92
awaken.v,1,8075,96.93
authorize.v,1,8076,96.94
certify.v,1,8077,96.95
stalk.v,1,8078,96.96
await.v,1,8079,96.98
stain.v,1,8080,96.99
unify.v,1,8081,97.0
unite.v,1,8082,97.01
stagnate.v,1,8083,97.02
stab.v,1,8084,97.04
upset.v,1,8085,97.05
rout.v,1,8086,97.06
cut short.v,1,8087,97.07
rock.v,1,8088,97.08
envelop.v,1,8089,97.1
melt.v,1,8090,97.11
meld.v,1,8091,97.12
equal.v,1,8092,97.13
meet with.v,1,8093,97.14
measure.v,1,8094,97.16
erupt.v,1,8095,97.17
evaluate.v,1,8096,97.18
evaporate.v,1,8097,97.19
master.v,1,8098,97.2
evolve.v,1,8099,97.22
excel.v,1,8100,97.23
exchange.v,1,8101,97.24
make up.v,1,8102,97.25
excite.v,1,8103,97.26
make out to be.v,1,8104,97.28
lure.v,1,8105,97.29
lunge.v,1,8106,97.3
expose.v,1,8107,97.31
extinguish.v,1,8108,97.32
look back.v,1,8109,97.34
lock up.v,1,8110,97.35
fabricate.v,1,8111,97.36
listen.v,1,8112,97.37
liquefy.v,1,8113,97.38
line.v,1,8114,97.4
farm.v,1,8115,97.41
fasten.v,1,8116,97.42
memorise.v,1,8117,97.43
entice.v,1,8118,97.44
confiscate.v,1,8119,97.46
mislead.v,1,8120,97.47
drown.v,1,8121,97.48
overrun.v,1,8122,97.49
outfit.v,1,8123,97.5
oust.v,1,8124,97.52
ought to.v,1,8125,97.53
opt.v,1,8126,97.54
dry up.v,1,8127,97.55
ooze.v,1,8128,97.56
dump.v,1,8129,97.58
occupy.v,1,8130,97.59
ease.v,1,8131,97.6
edge.v,1,8132,97.61
educate.v,1,8133,97.62
effect.v,1,8134,97.64
eject.v,1,8135,97.65
elicit.v,1,8136,97.66
embark.v,1,8137,97.67
mummify.v,1,8138,97.68
emplace.v,1,8139,97.7
mouth.v,1,8140,97.71
mount.v,1,8141,97.72
endorse.v,1,8142,97.73
mold.v,1,8143,97.74
enforce.v,1,8144,97.76
mock.v,1,8145,97.77
enlarge.v,1,8146,97.78
enlist.v,1,8147,97.79
fathom.v,1,8148,97.8
feature.v,1,8149,97.82
lean.v,1,8150,97.83
lead the way.v,1,8151,97.84
gag.v,1,8152,97.85
gaze.v,1,8153,97.86
incorporate.v,1,8154,97.88
get ready.v,1,8155,97.89
incense.v,1,8156,97.9
get there.v,1,8157,97.91
imprison.v,1,8158,97.92
impress.v,1,8159,97.94
get up.v,1,8160,97.95
implement.v,1,8161,97.96
impede.v,1,8162,97.97
give out.v,1,8163,97.98
give rise.v,1,8164,98.0
hurry.v,1,8165,98.01
howl.v,1,8166,98.02
glimpse.v,1,8167,98.03
glitter.v,1,8168,98.04
go away.v,1,8169,98.06
go wrong.v,1,8170,98.07
guess.v,1,8171,98.08
hinder.v,1,8172,98.09
guide.v,1,8173,98.1
hide.v,1,8174,98.12
had better.v,1,8175,98.13
hamper.v,1,8176,98.14
handle.v,1,8177,98.15
hang.v,1,8178,98.16
induce.v,1,8179,98.18
frolic.v,1,8180,98.19
free.v,1,8181,98.2
fit.v,1,8182,98.21
fester.v,1,8183,98.22
figure out.v,1,8184,98.24
laud.v,1,8185,98.25
lash.v,1,8186,98.26
languish.v,1,8187,98.27
lament.v,1,8188,98.28
film.v,1,8189,98.3
label.v,1,8190,98.31
knock.v,1,8191,98.32
abound.v,1,8192,98.33
kiss.v,1,8193,98.34
fire off.v,1,8194,98.36
key.v,1,8195,98.37
insert.v,1,8196,98.38
flight test.v,1,8197,98.39
jot down.v,1,8198,98.4
float.v,1,8199,98.42
jeopardise.v,1,8200,98.43
flop.v,1,8201,98.44
ford.v,1,8202,98.45
foresee.v,1,8203,98.46
intimidate.v,1,8204,98.48
interpret.v,1,8205,98.49
forgo.v,1,8206,98.5
institute.v,1,8207,98.51
fragment.v,1,8208,98.52
drink.v,1,8209,98.54
package.v,1,8210,98.55
drift.v,1,8211,98.56
rain.v,1,8212,98.57
crouch.v,1,8213,98.58
curtail.v,1,8214,98.6
cut off.v,1,8215,98.61
hasten.v,1,8216,98.62
reject.v,1,8217,98.63
reiterate.v,1,8218,98.64
reinvigorate.v,1,8219,98.66
reinforce.v,1,8220,98.67
reign.v,1,8221,98.68
regret.v,1,8222,98.69
refute.v,1,8223,98.7
refrain.v,1,8224,98.72
date.v,1,8225,98.73
redirect.v,1,8226,98.74
recount.v,1,8227,98.75
reconnoitre.v,1,8228,98.76
deceive.v,1,8229,98.78
rebuke.v,1,8230,98.79
rebuff.v,1,8231,98.8
reappraise.v,1,8232,98.81
deem.v,1,8233,98.82
read out.v,1,8234,98.84
raze.v,1,8235,98.85
rationalize.v,1,8236,98.86
denounce.v,1,8237,98.87
dent.v,1,8238,98.88
range.v,1,8239,98.9
remedy.v,1,8240,98.91
cross.v,1,8241,98.92
remind.v,1,8242,98.93
restrict.v,1,8243,98.94
roam.v,1,8244,98.96
rival.v,1,8245,98.97
conform.v,1,8246,98.98
confuse.v,1,8247,98.99
congratulate.v,1,8248,99.0
ride out.v,1,8249,99.02
rid.v,1,8250,99.03
reward.v,1,8251,99.04
revolt.v,1,8252,99.05
consent.v,1,8253,99.06
consume.v,1,8254,99.08
retain.v,1,8255,99.09
rest.v,1,8256,99.1
creep.v,1,8257,99.11
contradict.v,1,8258,99.12
respect.v,1,8259,99.14
reside.v,1,8260,99.15
reshape.v,1,8261,99.16
contrive.v,1,8262,99.17
convene.v,1,8263,99.18
convict.v,1,8264,99.2
reproduce.v,1,8265,99.21
reprimand.v,1,8266,99.22
repopulate.v,1,8267,99.23
crane.v,1,8268,99.24
crawl.v,1,8269,99.26
rake.v,1,8270,99.27
depose.v,1,8271,99.28
drain.v,1,8272,99.29
rage.v,1,8273,99.3
precede.v,1,8274,99.32
praise.v,1,8275,99.33
pour.v,1,8276,99.34
post.v,1,8277,99.35
disembark.v,1,8278,99.36
poison.v,1,8279,99.38
plunge.v,1,8280,99.39
disobey.v,1,8281,99.4
plead.v,1,8282,99.41
plant.v,1,8283,99.42
disprove.v,1,8284,99.44
disseminate.v,1,8285,99.45
pirate.v,1,8286,99.46
pin.v,1,8287,99.47
pile.v,1,8288,99.48
piece together.v,1,8289,99.5
pick.v,1,8290,99.51
distinguish.v,1,8291,99.52
divert.v,1,8292,99.53
donate.v,1,8293,99.54
double.v,1,8294,99.56
doubt.v,1,8295,99.57
peer.v,1,8296,99.58
peep.v,1,8297,99.59
peel.v,1,8298,99.6
peal.v,1,8299,99.62
partition.v,1,8300,99.63
discontinue.v,1,8301,99.64
discharge.v,1,8302,99.65
preserve.v,1,8303,99.66
deteriorate.v,1,8304,99.68
radiate.v,1,8305,99.69
quiver.v,1,8306,99.7
quiet down.v,1,8307,99.71
question.v,1,8308,99.72
put together.v,1,8309,99.74
put out.v,1,8310,99.75
put an end to.v,1,8311,99.76
detail.v,1,8312,99.77
puff.v,1,8313,99.78
prowl.v,1,8314,99.8
provoke.v,1,8315,99.81
detain.v,1,8316,99.82
proscribe.v,1,8317,99.83
prevail.v,1,8318,99.84
devise.v,1,8319,99.86
propel.v,1,8320,99.87
pronounce.v,1,8321,99.88
diddle.v,1,8322,99.89
differ.v,1,8323,99.9
prolong.v,1,8324,99.92
proliferate.v,1,8325,99.93
prohibit.v,1,8326,99.94
progress.v,1,8327,99.95
prize.v,1,8328,99.96
print.v,1,8329,99.98
disappear.v,1,8330,99.99
zigzag.v,1,8331,100.0


